"U.S. agricultural exports, State detail by commodity: calendar years 2000-20",,,,,,,,,,,,,,,, ,, , ,,
Illinois,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,Million $,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Beef and veal,47.2,44.3,42.5,51.8,8.6,16.5,24.6,38.5,38.4,34.4,47.0,53.7,46.1,55.7,72.2,55.1,62.5,84.3,74.2,99.9,78.8
Pork,90.2,114.6,111.2,124.1,159.6,172.3,168.7,179.7,290.6,276.8,316.4,393.4,414.9,401.0,432.1,341.3,377.6,395.3,367.1,387.8,548.7
Hides and skins,39.0,53.1,44.2,45.6,43.1,43.1,46.0,52.4,49.8,36.0,58.7,63.7,63.3,75.1,69.0,47.9,42.6,44.2,29.9,24.3,20.0
Other livestock products 1/,11.3,11.3,10.0,8.8,8.8,9.9,11.5,13.2,17.6,17.0,19.2,26.9,25.6,21.4,20.5,20.8,20.1,22.7,20.9,21.1,27.1
Dairy products,12.1,13.2,11.1,11.6,16.4,18.1,21.8,31.5,39.1,22.6,36.8,45.8,49.8,62.7,65.3,48.9,42.9,49.7,48.0,47.5,50.5
Broiler meat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3
Other poultry products 2/,7.3,7.6,6.3,8.5,8.8,10.5,11.8,17.1,16.9,14.9,16.5,18.9,20.0,20.8,25.0,22.1,15.4,18.6,24.8,18.9,19.2
"Vegetables, fresh",6.1,6.0,4.7,11.8,13.4,14.9,16.8,18.6,8.1,7.2,8.2,10.0,13.2,12.9,14.3,7.3,14.5,9.5,10.2,6.6,5.9
"Vegetables, processed",9.3,9.0,6.7,15.4,18.0,19.5,22.2,25.5,13.1,11.6,12.7,16.2,24.8,23.3,27.3,13.9,28.2,17.9,17.1,11.0,9.7
"Fruits, fresh",3.7,3.6,4.0,5.7,5.2,6.7,6.9,3.5,6.4,6.6,8.3,7.2,5.6,3.2,4.7,3.4,6.1,4.7,0.0,0.0,0.0
"Fruits, processed",3.4,3.2,3.5,5.1,5.0,5.4,6.4,3.3,5.9,5.8,7.4,6.7,4.8,2.8,4.2,3.3,5.8,4.1,0.0,0.0,0.0
Tree nuts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wheat,79.9,61.4,69.4,90.1,121.2,72.1,130.6,179.1,282.1,110.1,59.7,229.2,122.5,288.9,134.6,89.1,81.1,116.6,105.9,128.2,140.9
Corn,780.9,831.1,870.6,847.6,"1,009.2",917.8,"1,188.9","1,762.4","2,361.2","1,528.7","1,670.9","2,290.9","1,459.1",806.9,"1,820.5","1,336.4","1,565.1","1,413.5","2,002.8","1,177.8","1,338.3"
Feeds and other feed grains 3/,439.8,483.6,448.0,471.7,450.8,515.2,530.4,742.9,981.0,836.7,992.5,"1,142.4","1,128.9","1,031.8","1,512.7","1,464.7","1,216.4","1,141.9","1,243.4","1,091.4","1,152.0"
"Grain products, processed",163.4,177.3,196.5,219.4,236.5,276.6,299.3,381.3,384.6,393.6,429.4,489.4,487.3,407.8,527.5,489.7,473.0,459.2,490.0,445.7,415.2
Soybeans,908.3,939.2,961.0,"1,270.7","1,071.5",986.1,997.9,"1,549.8","2,029.2","2,266.8","2,555.0","2,527.6","3,398.1","2,727.3","3,548.9","2,709.3","3,120.5","3,031.8","2,580.7","2,941.3","3,623.9"
Soybean meal,220.5,259.9,227.6,203.3,209.4,233.9,239.8,335.7,420.9,483.2,482.6,462.5,671.0,687.8,817.6,688.8,558.0,550.6,772.1,691.9,670.6
Vegetable oils,184.6,181.6,243.9,238.7,235.8,225.0,232.1,347.6,463.5,386.3,489.8,521.4,516.6,401.4,436.4,398.8,374.3,392.6,394.2,407.9,437.9
Other oilseeds and products 4/,0.3,0.3,0.5,0.4,0.6,0.7,1.1,1.3,0.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cotton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tobacco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other plant products 5/,101.2,109.0,109.3,98.5,150.3,150.0,128.6,164.0,205.9,222.0,252.8,288.2,286.5,287.1,303.3,292.9,296.0,310.1,306.8,336.5,271.0
,,,,,,,,,,,,,,,,,,,,,
Total agricultural exports,"3,108.5","3,309.6","3,371.1","3,728.7","3,772.3","3,694.2","4,085.5","5,847.4","7,615.0","6,660.7","7,463.9","8,594.3","8,738.3","7,317.8","9,836.2","8,033.9","8,300.2","8,067.4","8,488.3","7,838.2","8,809.9"
,,,,,,,,,,,,,,,,,,,,,
Total animal products,207.1,244.2,225.4,250.5,245.3,270.4,284.3,332.5,452.4,401.6,494.6,602.5,619.8,636.8,684.2,536.3,561.4,615.0,565.1,599.8,744.6
Total plant products,"2,901.4","3,065.4","3,145.7","3,478.2","3,527.0","3,423.8","3,801.2","5,515.0","7,162.7","6,259.1","6,969.3","7,991.8","8,118.5","6,681.0","9,152.1","7,497.6","7,738.9","7,452.4","7,923.2","7,238.4","8,065.3"
,,,,,,,,,,,,,,,,,,,,,
"1/ Includes other nonpoultry meats, animal fat, live farm animals, and other animal parts.",,,,,,,,,,,,,,,,,,,,,
"2/ Includes turkey meat, eggs, and other fowl products. ",,,,,,,,,,,,,,,,,,,,,
"3/ Includes processed feeds, fodder, barley, oats, rye, and sorghum.",,,,,,,,,,,,,,,,,,,,,
"4/ Includes peanuts (oilstock), other oil crops, corn meal, other oilcake and meal, protein substances, bran, and residues.",,,,,,,,,,,,,,,,,,,,,
"5/ Includes sweeteners and products, other horticulture products, planting seeds, cocoa, coffee, and other processed foods.",,,,,,,,,,,,,,,,,,,,,
"Data sources: USDA, Economic Research Service; USDA, Foreign Agricultural Service, Global Agricultural Trade System.",,,,,,,,,,,,,,,,,,,,,
