"U.S. agricultural exports, State detail by commodity: calendar years 2000-20",,,,,,,,,,,,,,,,,,,,,
Nebraska,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,Million $,,,,,,,,,,,,,
,,,,,,,,,,,,,,,, ,,,,,
Beef and veal,437.9,425.5,417.0,502.1,105.5,183.1,278.6,380.9,466.9,439.8,564.5,762.2,832.2,943.2,"1,118.8","1,020.7","1,096.0","1,102.0","1,318.5","1,288.9","1,167.8"
Pork,78.1,89.5,92.6,91.4,118.4,134.4,147.5,160.4,216.8,190.4,215.8,262.1,246.4,217.2,258.5,212.1,228.1,250.9,246.8,275.4,304.1
Hides and skins,166.0,213.0,201.6,206.0,195.3,200.8,240.1,266.2,249.8,172.9,261.0,307.4,342.4,383.5,373.8,331.2,271.7,235.4,188.6,135.5,103.3
Other livestock products 1/,8.1,9.0,11.2,11.8,11.5,11.3,13.1,16.8,30.0,29.0,33.0,42.8,39.0,33.2,30.1,24.0,22.6,26.0,25.7,27.5,34.0
Dairy products,6.9,7.4,6.6,6.8,8.9,10.0,11.6,16.8,21.9,14.7,23.6,30.1,31.9,40.5,42.7,33.9,32.0,37.1,36.2,37.7,42.0
Broiler meat,0.7,0.8,0.6,0.8,1.0,1.2,1.2,1.6,1.8,1.7,1.6,1.9,2.4,2.4,2.2,1.9,1.8,2.0,1.9,2.3,2.3
Other poultry products 2/,11.8,13.0,10.2,16.3,16.3,14.9,17.0,27.5,30.5,25.4,27.3,31.4,32.9,37.2,42.0,31.0,17.2,23.7,30.6,24.0,23.7
"Vegetables, fresh",7.3,9.9,9.6,9.3,8.7,11.0,13.1,14.1,18.7,17.0,17.8,23.3,25.1,31.2,25.9,20.8,20.6,25.4,26.8,23.5,28.9
"Vegetables, processed",11.1,14.9,13.6,12.1,11.7,14.5,17.2,19.4,30.2,27.4,27.7,37.8,47.1,56.0,49.2,39.7,40.0,47.6,45.0,39.5,47.6
"Fruits, fresh",0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fruits, processed",0.1,0.2,0.2,0.4,0.4,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tree nuts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wheat,108.5,91.1,125.3,130.6,142.9,139.1,146.2,347.2,349.0,174.1,200.0,297.9,253.6,202.2,236.6,131.3,122.0,151.0,134.7,150.5,122.4
Corn,507.6,497.1,554.1,538.7,625.9,535.7,759.2,"1,094.6","1,465.1","1,035.0","1,131.4","1,780.5","1,093.8",769.4,"1,183.5","1,010.0","1,142.9","1,036.8","1,476.6",958.7,"1,185.0"
Feeds and other feed grains 3/,304.5,315.0,305.6,319.5,294.4,314.1,354.4,483.6,628.2,583.4,687.2,905.9,868.6,"1,010.4","1,013.2","1,139.4",916.8,861.6,950.8,919.1,"1,055.8"
"Grain products, processed",118.3,120.3,141.4,155.9,159.9,180.0,207.3,266.9,255.7,285.3,310.8,394.5,388.6,393.9,366.4,387.6,362.9,352.4,380.6,379.1,380.3
Soybeans,346.6,398.7,376.0,600.3,421.4,467.9,542.7,707.6,"1,131.0","1,379.0","1,248.9","1,601.8","1,789.2","1,480.4","1,712.1","1,367.5","1,717.8","1,548.9","1,218.7","1,357.3","1,907.3"
Soybean meal,84.1,110.3,89.0,96.0,82.4,111.0,130.4,153.3,234.6,293.9,235.9,293.1,353.3,373.3,394.5,347.7,307.2,281.3,364.6,319.3,352.9
Vegetable oils,71.0,77.7,95.8,113.1,93.4,107.8,127.4,159.7,260.1,236.3,241.1,333.3,273.2,218.3,211.2,202.6,206.9,201.4,186.8,188.9,231.3
Other oilseeds and products 4/,4.7,5.7,4.1,2.9,5.4,8.6,11.6,8.1,10.3,10.4,13.3,18.2,8.5,5.4,12.1,13.0,13.9,9.6,8.9,7.4,8.4
Cotton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tobacco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other plant products 5/,25.1,29.6,29.6,40.0,43.3,45.9,58.1,56.3,65.8,73.7,94.1,117.5,159.6,176.1,162.5,165.0,158.8,156.1,160.4,159.3,144.3
,,,,,,,,,,,,,,,,,,,,,
Total agricultural exports,"2,298.6","2,429.0","2,484.5","2,854.4","2,347.1","2,492.2","3,077.4","4,181.7","5,466.4","4,989.5","5,335.0","7,241.7","6,787.5","6,373.9","7,235.4","6,479.3","6,679.1","6,349.0","6,802.3","6,293.9","7,141.3"
,,,,,,,,,,,,,,,,,,,,,
Total animal products,709.5,758.3,739.9,835.2,456.9,555.9,709.1,870.1,"1,017.7",873.8,"1,126.8","1,437.8","1,527.2","1,657.1","1,868.1","1,654.8","1,669.3","1,677.1","1,848.4","1,791.3","1,677.2"
Total plant products,"1,589.1","1,670.7","1,744.7","2,019.2","1,890.1","1,936.3","2,368.3","3,311.5","4,448.7","4,115.7","4,208.2","5,803.8","5,260.3","4,716.7","5,367.3","4,824.5","5,009.8","4,671.9","4,953.9","4,502.6","5,464.1"
,,,,,,,,,,,,,,,,,,,,,
"1/ Includes other nonpoultry meats, animal fat, live farm animals, and other animal parts.",,,,,,,,,,,,,,,,,,,,,
"2/ Includes turkey meat, eggs, and other fowl products. ",,,,,,,,,,,,,,,,,,,,,
"3/ Includes processed feeds, fodder, barley, oats, rye, and sorghum.",,,,,,,,,,,,,,,,,,,,,
"4/ Includes peanuts (oilstock), other oil crops, corn meal, other oilcake and meal, protein substances, bran, and residues.",,,,,,,,,,,,,,,,,,,,,
"5/ Includes sweeteners and products, other horticulture products, planting seeds, cocoa, coffee, and other processed foods.",,,,,,,,,,,,,,,,,,,,,
"Data sources: USDA, Economic Research Service; USDA, Foreign Agricultural Service, Global Agricultural Trade System.",,,,,,,,,,,,,,,,,,,,,
